ClientID,FirstName,LastName,Gender,DateOfBirth,Address,City,State,PostalCode,Country,Email,PhoneNumber,AccountType,AccountNumber,Balance,AccountOpened,LastTransaction,CreditScore,EmploymentStatus,AnnualIncome,MaritalStatus,NumberOfDependents
24,Donna,Hernandez,Female,1984-08-27,727374 Cedar St,Springfield,IL,62704,USA,donnahernandez@example.com,555-7273,Credit,4567890123,3500.80,2008-06-17,2023-06-13,700,Employed,78000,Married,2
25,Mark,King,Male,1978-07-19,757677 Pine St,Springfield,IL,62704,USA,markking@example.com,555-7576,Savings,5678901234,2200.20,2007-12-05,2023-06-12,690,Employed,64000,Divorced,3
26,Nancy,Wright,Female,1989-02-16,787980 Cherry St,Springfield,IL,62704,USA,nancywright@example.com,555-7879,Checking,6789012345,475.75,2012-08-20,2023-06-11,710,Employed,55000,Single,1
27,Paul,Lopez,Male,1983-10-11,818283 Oak St,Springfield,IL,62704,USA,paullopez@example.com,555-8182,Credit,7890123456,3100.00,2010-03-30,2023-06-10,715,Self-Employed,85000,Married,1
28,Laura,Hill,Female,1986-05-17,848586 Elm St,Springfield,IL,62704,USA,laurahill@example.com,555-8485,Savings,8901234567,12300.50,2006-07-25,2023-06-09,730,Employed,60000,Married,2
29,Kevin,Scott,Male,1990-09-05,878889 Birch St,Springfield,IL,62704,USA,kevinscott@example.com,555-8788,Checking,9012345678,370.65,2015-01-13,2023-06-08,660,Employed,53000,Single,0
30,Jessica,Green,Female,1981-11-12,909192 Maple St,Springfield,IL,62704,USA,jessicagreen@example.com,555-9091,Credit,0123456789,2600.40,2011-11-25,2023-06-07,705,Employed,71000,Married,1
31,Brian,Adams,Male,1979-03-25,939495 Cedar St,Springfield,IL,62704,USA,brianadams@example.com,555-9394,Savings,1234567890,11500.25,2008-10-18,2023-06-06,720,Self-Employed,90000,Divorced,2
32,Rebecca,Baker,Female,1984-07-07,969798 Pine St,Springfield,IL,62704,USA,rebeccabaker@example.com,555-9697,Checking,2345678901,380.50,2012-02-17,2023-06-05,675,Employed,63000,Married,3
33,Edward,Rivera,Male,1985-11-30,999100 Maple St,Springfield,IL,62704,USA,edwardrivera@example.com,555-9991,Credit,3456789012,2900.75,2014-06-12,2023-06-04,700,Employed,76000,Single,0
34,Carolyn,Perez,Female,1991-01-18,101102103 Elm St,Springfield,IL,62704,USA,carolynperez@example.com,555-1011,Savings,4567890123,9300.90,2007-08-27,2023-06-03,710,Employed,78000,Married,2
35,Eric,Ross,Male,1978-04-14,104105106 Birch St,Springfield,IL,62704,USA,ericross@example.com,555-1041,Checking,5678901234,690.20,2009-03-25,2023-06-02,680,Employed,62000,Divorced,3
36,Amy,Foster,Female,1987-09-22,107108109 Cedar St,Springfield,IL,62704,USA,amyfoster@example.com,555-1071,Credit,6789012345,3100.50,2011-12-13,2023-06-01,720,Self-Employed,85000,Married,1
37,Ryan,Reed,Male,1980-06-17,110111112 Oak St,Springfield,IL,62704,USA,ryanreed@example.com,555-1101,Savings,7890123456,5400.75,2006-06-30,2023-05-31,700,Employed,68000,Single,0
38,Virginia,Ward,Female,1986-05-21,113114115 Pine St,Springfield,IL,62704,USA,virginiaward@example.com,555-1131,Checking,8901234567,230.65,2010-01-15,2023-05-30,670,Employed,59000,Married,2
39,Timothy,Brooks,Male,1977-07-23,116117118 Cherry St,Springfield,IL,62704,USA,timothybrooks@example.com,555-1161,Credit,9012345678,2900.40,2008-11-05,2023-05-29,715,Employed,73000,Divorced,3
40,Sharon,Barnes,Female,1992-03-16,119120121 Elm St,Springfield,IL,62704,USA,sharonbarnes@example.com,555-1191,Savings,0123456789,11200.25,2005-10-20,2023-05-28,730,Self-Employed,80000,Married,1
41,Gary,Jenkins,Male,1985-09-09,122123124 Birch St,Springfield,IL,62704,USA,garyjenkins@example.com,555-1221,Checking,1234567890,670.50,2013-04-10,2023-05-27,695,Employed,71000,Single,0
42,Helen,Butler,Female,1990-07-07,125126127 Maple St,Springfield,IL,62704,USA,helenbutler@example.com,555-1251,Credit,2345678901,3150.75,2014-12-11,2023-05-26,710,Employed,76000,Married,2
43,Louis,Howard,Male,1983-11-30,128129130 Cedar St,Springfield,IL,62704,USA,louishoward@example.com,555-1281,Savings,3456789012,9800.90,2009-08-21,2023-05-25,720,Self-Employed,88000,Divorced,1
44,Emma,Carter,Female,1988-02-14,131132133 Pine St,Springfield,IL,62704,USA,emmacarter@example.com,555-1311,Checking,4567890123,405.75,2011-02-17,2023-05-24,680,Employed,67000,Married,2
45,Henry,Bailey,Male,1979-10-12,134135136 Oak St,Springfield,IL,62704,USA,henrybailey@example.com,555-1341,Credit,5678901234,2700.60,2007-07-25,2023-05-23,705,Employed,74000,Single,0
46,Anna,Watson,Female,1987-11-20,137138139 Maple St,Springfield,IL,62704,USA,annawatson@example.com,555-1371,Savings,6789012345,12300.90,2006-11-18,2023-05-22,730,Self-Employed,81000,Married,1
47,Frank,Ross,Male,1980-04-11,140141142 Cedar St,Springfield,IL,62704,USA,frankross@example.com,555-1401,Checking,7890123456,750.40,2010-08-19,2023-05-21,680,Employed,62000,Married,2
48,Deborah,Collins,Female,1993-12-02,143144145 Pine St,Springfield,IL,62704,USA,deborahcollins@example.com,555-1431,Credit,8901234567,3050.25,2015-05-21,2023-05-20,720,Employed,77000,Single,0
49,Gregory,Hughes,Male,1981-05-05,146147148 Oak St,Springfield,IL,62704,USA,gregoryhughes@example.com,555-1461,Savings,9012345678,9300.50,2009-10-12,2023-05-19,710,Employed,70000,Divorced,3
50,Michelle,Bryant,Female,1988-08-23,149150151 Elm St,Springfield,IL,62704,USA,michellebryant@example.com,555-1491,Checking,0123456789,210.75,2011-11-14,2023-05-18,675,Employed,64000,Married,1
51,Andrew,Clark,Male,1982-01-16,152153154 Birch St,Springfield,IL,62704,USA,andrewclark@example.com,555-1521,Credit,1234567890,3200.80,2007-04-25,2023-05-17,715,Employed,76000,Single,0
52,Sandra,Morris,Female,1984-12-07,155156157 Maple St,Springfield,IL,62704,USA,sandramorris@example.com,555-1551,Savings,2345678901,11700.25,2008-09-22,2023-05-16,725,Self-Employed,89000,Married,2
53,Jason,Ward,Male,1977-06-28,158159160 Cedar St,Springfield,IL,62704,USA,jasonward@example.com,555-1581,Checking,3456789012,500.40,2010-02-17,2023-05-15,695,Employed,68000,Divorced,3
54,Stephanie,Peterson,Female,1992-07-24,161162163 Pine St,Springfield,IL,62704,USA,stephaniepeterson@example.com,555-1611,Credit,4567890123,2800.75,2015-03-21,2023-05-14,700,Employed,74000,Single,1
55,Bruce,Cooper,Male,1983-09-09,164165166 Oak St,Springfield,IL,62704,USA,brucecooper@example.com,555-1641,Savings,5678901234,8400.50,2007-06-27,2023-05-13,720,Self-Employed,82000,Married,2
56,Angela,Ramirez,Female,1986-05-21,167168169 Maple St,Springfield,IL,62704,USA,angelaramirez@example.com,555-1671,Checking,6789012345,320.65,2012-01-17,2023-05-12,675,Employed,62000,Single,0
57,Patrick,Bell,Male,1979-08-18,170171172 Cedar St,Springfield,IL,62704,USA,patrickbell@example.com,555-1701,Credit,7890123456,2900.80,2009-05-18,2023-05-11,705,Employed,71000,Married,1
58,Melissa,Bailey,Female,1987-03-21,173174175 Pine St,Springfield,IL,62704,USA,melissabailey@example.com,555-1731,Savings,8901234567,12900.25,2008-03-14,2023-05-10,730,Self-Employed,86000,Married,2
59,Aaron,Richardson,Male,1982-06-19,176177178 Oak St,Springfield,IL,62704,USA,aaronrichardson@example.com,555-1761,Checking,9012345678,480.75,2010-07-25,2023-05-09,680,Employed,64000,Single,0
60,Betty,Howard,Female,1990-11-02,179180181 Elm St,Springfield,IL,62704,USA,bettyhoward@example.com,555-1791,Credit,0123456789,3100.40,2013-12-10,2023-05-08,720,Employed,70000,Married,1
61,Edward,James,Male,1984-01-17,182183184 Birch St,Springfield,IL,62704,USA,edwardjames@example.com,555-1821,Savings,1234567890,10200.75,2006-06-20,2023-05-07,710,Self-Employed,85000,Divorced,3
62,Dorothy,Bennett,Female,1991-05-14,185186187 Maple St,Springfield,IL,62704,USA,dorothybennett@example.com,555-1851,Checking,2345678901,670.20,2015-04-22,2023-05-06,675,Employed,62000,Married,2
63,Henry,Cox,Male,1982-02-11,188189190 Cedar St,Springfield,IL,62704,USA,henrycox@example.com,555-1881,Credit,3456789012,2800.50,2007-11-18,2023-05-05,700,Employed,72000,Single,0
64,Julie,Diaz,Female,1987-07-23,191192193 Pine St,Springfield,IL,62704,USA,juliediaz@example.com,555-1911,Savings,4567890123,9500.25,2008-09-17,2023-05-04,730,Self-Employed,86000,Married,1
65,George,Martinez,Male,1979-03-12,194195196 Oak St,Springfield,IL,62704,USA,georgemartinez@example.com,555-1941,Checking,5678901234,320.40,2010-06-18,2023-05-03,680,Employed,67000,Married,2
66,Elizabeth,Hughes,Female,1990-12-25,197198199 Maple St,Springfield,IL,62704,USA,elizabethhughes@example.com,555-1971,Credit,6789012345,3100.75,2012-11-20,2023-05-02,715,Employed,75000,Single,0
67,Timothy,Bryant,Male,1985-09-28,200201202 Cedar St,Springfield,IL,62704,USA,timothybryant@example.com,555-2001,Savings,7890123456,10500.40,2009-10-17,2023-05-01,725,Self-Employed,80000,Married,3
68,Linda,Walker,Female,1983-06-18,203204205 Pine St,Springfield,IL,62704,USA,lindawalker@example.com,555-2031,Checking,8901234567,270.60,2011-08-18,2023-04-30,695,Employed,62000,Married,2
69,Jeffrey,Allen,Male,1988-08-20,206207208 Oak St,Springfield,IL,62704,USA,jeffreyallen@example.com,555-2061,Credit,9012345678,2900.25,2015-12-11,2023-04-29,710,Employed,68000,Single,0
70,Mary,Young,Female,1991-05-14,209210211 Elm St,Springfield,IL,62704,USA,maryyoung@example.com,555-2091,Savings,0123456789,10900.50,2008-06-12,2023-04-28,730,Self-Employed,81000,Married,1
71,Larry,Harris,Male,1984-07-22,212213214 Birch St,Springfield,IL,62704,USA,larryharris@example.com,555-2121,Checking,1234567890,430.75,2013-02-17,2023-04-27,675,Employed,59000,Divorced,2
72,Jennifer,Wright,Female,1978-04-13,215216217 Maple St,Springfield,IL,62704,USA,jenniferwright@example.com,555-2151,Credit,2345678901,2700.50,2009-01-15,2023-04-26,720,Employed,72000,Single,0
73,Matthew,Ross,Male,1990-07-07,218219220 Cedar St,Springfield,IL,62704,USA,matthewross@example.com,555-2181,Savings,3456789012,10300.75,2012-12-11,2023-04-25,700,Self-Employed,80000,Married,1
74,Susan,Reed,Female,1985-11-30,221222223 Pine St,Springfield,IL,62704,USA,susanreed@example.com,555-2211,Checking,4567890123,210.40,2010-09-21,2023-04-24,680,Employed,66000,Married,2
75,Christopher,Scott,Male,1983-12-05,224225226 Oak St,Springfield,IL,62704,USA,christopherscott@example.com,555-2241,Credit,5678901234,3050.25,2008-07-18,2023-04-23,715,Employed,71000,Divorced,1
76,Sarah,Parker,Female,1989-01-18,227228229 Elm St,Springfield,IL,62704,USA,sarahparker@example.com,555-2271,Savings,6789012345,12000.80,2009-02-17,2023-04-22,725,Self-Employed,83000,Single,0
77,Charles,Collins,Male,1977-09-17,230231232 Birch St,Springfield,IL,62704,USA,charlescollins@example.com,555-2301,Checking,7890123456,320.65,2010-10-17,2023-04-21,695,Employed,67000,Married,2
78,Margaret,Stewart,Female,1984-11-25,233234235 Cedar St,Springfield,IL,62704,USA,margaretstewart@example.com,555-2331,Credit,8901234567,2950.50,2012-11-12,2023-04-20,705,Employed,76000,Married,3
79,Robert,Hughes,Male,1983-06-18,236237238 Pine St,Springfield,IL,62704,USA,roberthughes@example.com,555-2361,Savings,9012345678,10900.90,2007-12-18,2023-04-19,720,Self-Employed,88000,Single,0
80,Carol,Howard,Female,1989-10-12,239240241 Maple St,Springfield,IL,62704,USA,carolhoward@example.com,555-2391,Checking,0123456789,520.75,2014-11-20,2023-04-18,675,Employed,63000,Married,1
81,Justin,Turner,Male,1985-05-21,242243244 Cedar St,Springfield,IL,62704,USA,justinturner@example.com,555-2421,Credit,1234567890,2850.40,2011-10-18,2023-04-17,700,Employed,72000,Single,0
82,Brenda,Collins,Female,1978-11-27,245246247 Pine St,Springfield,IL,62704,USA,brendacollins@example.com,555-2451,Savings,2345678901,9800.20,2008-08-22,2023-04-16,725,Self-Employed,84000,Married,2
83,Jeffrey,Lopez,Male,1983-04-22,248249250 Oak St,Springfield,IL,62704,USA,jeffreylopez@example.com,555-2481,Checking,3456789012,640.75,2011-02-19,2023-04-15,680,Employed,67000,Divorced,1
84,Linda,Adams,Female,1991-09-14,251252253 Birch St,Springfield,IL,62704,USA,lindaadams@example.com,555-2511,Credit,4567890123,2700.50,2013-09-13,2023-04-14,705,Employed,71000,Single,0
85,James,Carter,Male,1984-10-17,254255256 Maple St,Springfield,IL,62704,USA,jamescarter@example.com,555-2541,Savings,5678901234,12300.75,2007-10-18,2023-04-13,730,Self-Employed,81000,Married,1
86,Alice,Evans,Female,1987-11-16,257258259 Cedar St,Springfield,IL,62704,USA,aliceevans@example.com,555-2571,Checking,6789012345,330.25,2010-07-15,2023-04-12,675,Employed,62000,Married,2
87,Paul,Hernandez,Male,1979-12-17,260261262 Pine St,Springfield,IL,62704,USA,paulhernandez@example.com,555-2601,Credit,7890123456,2950.75,2008-05-18,2023-04-11,715,Employed,70000,Single,0
88,Jessica,Roberts,Female,1993-08-25,263264265 Oak St,Springfield,IL,62704,USA,jessicaroberts@example.com,555-2631,Savings,8901234567,8400.50,2016-06-18,2023-04-10,700,Employed,76000,Married,1
89,Steven,Garcia,Male,1982-04-16,266267268 Birch St,Springfield,IL,62704,USA,stevengarcia@example.com,555-2661,Checking,9012345678,620.75,2010-12-14,2023-04-09,680,Employed,67000,Divorced,3
90,Shirley,Anderson,Female,1988-09-21,269270271 Elm St,Springfield,IL,62704,USA,shirleyanderson@example.com,555-2691,Credit,0123456789,3200.25,2014-05-20,2023-04-08,720,Employed,75000,Single,0
91,Brian,Baker,Male,1977-11-27,272273274 Birch St,Springfield,IL,62704,USA,brianbaker@example.com,555-2721,Savings,1234567890,12200.50,2008-11-14,2023-04-07,725,Self-Employed,89000,Married,2
92,Rebecca,Ross,Female,1990-05-14,275276277 Maple St,Springfield,IL,62704,USA,rebeccaross@example.com,555-2751,Checking,2345678901,430.25,2013-05-18,2023-04-06,695,Employed,62000,Single,1
93,Matthew,Allen,Male,1985-08-28,278279280 Cedar St,Springfield,IL,62704,USA,matthewallen@example.com,555-2781,Credit,3456789012,2700.40,2009-08-17,2023-04-05,710,Employed,71000,Married,3
94,Nancy,White,Female,1978-09-14,281282283 Pine St,Springfield,IL,62704,USA,nancywhite@example.com,555-2811,Savings,4567890123,8200.75,2007-09-13,2023-04-04,730,Self-Employed,83000,Married,2
95,Thomas,Martinez,Male,1983-03-12,284285286 Oak St,Springfield,IL,62704,USA,thomasmartinez@example.com,555-2841,Checking,5678901234,380.50,2008-12-10,2023-04-03,680,Employed,67000,Single,1
96,Patricia,Roberts,Female,1992-04-16,287288289 Birch St,Springfield,IL,62704,USA,patriciaroberts@example.com,555-2871,Credit,6789012345,3000.40,2015-10-19,2023-04-02,720,Employed,75000,Married,0
97,Jason,Garcia,Male,1982-02-12,290291292 Elm St,Springfield,IL,62704,USA,jasongarcia@example.com,555-2901,Savings,7890123456,10000.25,2009-03-17,2023-04-01,715,Self-Employed,86000,Single,3
98,Donna,Hernandez,Female,1983-10-13,293294295 Maple St,Springfield,IL,62704,USA,donnahernandez@example.com,555-2931,Checking,8901234567,470.40,2011-12-20,2023-03-31,700,Employed,69000,Married,2
99,Daniel,Walker,Male,1988-08-19,296297298 Cedar St,Springfield,IL,62704,USA,danielwalker@example.com,555-2961,Credit,9012345678,2800.75,2013-11-17,2023-03-30,705,Employed,72000,Single,0
100,Kimberly,Lee,Female,1990-07-20,299300301 Pine St,Springfield,IL,62704,USA,kimberlylee@example.com,555-2991,Savings,0123456789,9500.50,2008-07-20,2023-03-29,730,Self-Employed,87000,Married,1
